text,target
şarj aleti gibi sokup çıkarma,INSULT
bu Müslümanların gerici olduğunu gösteriyor,RACIST
AMK malı,PROFANITY
başımı siktin,PROFANITY
benim haberim yokmuş senin köpeklikte bir numara olduğundan,INSULT
kadın kısmı erkeğinin sözünü dinler,SEXIST
ananı sikerim üstüne beton dökerim en son aldığı zevk o olur,PROFANITY
o kadar döl içinden tuta tuta sen mi tuttun,PROFANITY
Evli kadın kocasının sözünden çıkmaz ve o ne derse onu yapmakla mükelleftir,SEXIST
senin ayağın gibi beyninde sakat,INSULT
otobüste bir kız gördüm abi gibiydi,SEXIST
am balığı,PROFANITY
ne kadar bencil bir insansın,INSULT
edepsizlik senin geninde var,INSULT
kadın dediğin duracağı yeri bilmeli,SEXIST
Türkün bildiğini tilki bilmez,RACIST
kızın varsa düşüncen çoktur,SEXIST
Sen kimsin be ne biliyorsun,INSULT
Senden iyilik bekleyen de hata,INSULT
kari gibi dedikodu yapma,SEXIST
bitmeyen şarjına sıçayım,PROFANITY
Bütün zenciler afrikadaki kızgın güneşten korunmaları için yaratılmış,RACIST
At ile avradın yediği sayılmaz,SEXIST
böyle güzel bir resmi senin yapabilmiş olmana ihtimal vermiyorum,INSULT
sik görmüş gibi suratıma bakma,PROFANITY
batılı ibneler gibi gevşek gevşek davranma,RACIST
Nerede nasıl davranacağını bilmeyecek kadar görgüsüzsün işte,INSULT
sende ermeni gelini gibi yerinde duramıyorsun,RACIST
Gözüm kanadı o nasıl bir elbise,INSULT
ananın götünün damarını sikeyim,PROFANITY
sik beyinli,PROFANITY
adamlığı sen mi biliyorsun,SEXIST
köpek orospu çocuğu,PROFANITY
paralı köle,INSULT
Karı ağızlı anca dedikodu yapıyor,SEXIST
onun bunun evladı,PROFANITY
embesilmisin oğlum sen,INSULT
Sen Aryan mısın,RACIST
Mağaradan çıkmış gibi gelmiş yanımıza,INSULT
nonos pezevek,PROFANITY
Unutan iyileşirunutamayanın hayatı sikilir,PROFANITY
Ben erkek gibi konusurum kari gibi aglamam,SEXIST
kadının maç izlerken bizimle ne işi var,SEXIST
o dolma parmaklara hangi yüzük girer,INSULT
hey Iraklıçölüne geri dön,RACIST
sabah gunesi sidikliye vururmus,INSULT
ağzına köyün köpeği işesin,PROFANITY
amini avradini sikerim senin,PROFANITY
Suriyelerin hepsi ülkelerine geri gönderilmelidir,RACIST
konuşma lan tırrek,INSULT
Senin yaptığını her erkek yapar,SEXIST
Herkesle sevgilisi gibi konuşan bayağı bir insan benim yanımdan bile geçemez,INSULT
seni acıdıkları için işe aldılar,INSULT
Yüzüne bakılacak son insansın,INSULT
Sen beni hiçbir zaman anlamayacaksın o yüzden en iyisi ayrılalım,INSULT
bu aleme yakışmıyorsun,INSULT
Zenginin işine fakirin sikişine akıl sır ermez,PROFANITY
sese bak erkek gibi,SEXIST
annelik kadının kariyedir,SEXIST
tayt giyen erkek mi olur,SEXIST
kadınların tek bildiği şeydir trip atmak,SEXIST
Maymun suratlı hala okula gelmeye devam ediyor,INSULT
ABD polisi zenci vatandaslara siddet uyguladi,RACIST
Kürtlerin soyu tükenmedikçe bu sorunlar hep gündemde olucak,RACIST
yerime koydukların sana koysun,PROFANITY
"Bu kadar çok gülme , çok güleni sikerler.",PROFANITY
Gayrimüslim bir insana güvenebilir misiniz gerçekten,RACIST
düz yolda yürümesini bile beceremiyorsun ki sen,INSULT
Kendi alnımdan öpüpiyi dayandın bunca orospu çocuğuna demek istiyorum,PROFANITY
Mal gibi bakma öyle.,INSULT
Ananı babanın önünde sikerim,PROFANITY
sende adam mı sanıyorsun kendini,SEXIST
senin kemiklerini kırar götüne sokarım,PROFANITY
götüne girdiğim hatun benimdir,PROFANITY
erkekten hemşire olmaz,SEXIST
amında kocarım,PROFANITY
kadından patron falan olmaz,SEXIST
Ayılar bile senden daha romantik bi de koca olacaksın,SEXIST
yobaz fahişe,PROFANITY
Gavurun dölü bir daha karşıma çıksın baksın bakalım ben oona ne yapıyorum,PROFANITY
ergen ergen hareketlere bak,INSULT
Senin olduğun herşeyde ve heryerde bir pislik oluyor,INSULT
seni domaltır düz sikerim,PROFANITY
Kadınsan kadınlığını bil,SEXIST
Kadınlar daha düşük ücretle işe alınmalı çünkü evde çocuk bakmalılar-,SEXIST
yemeğin salçalısı kadının kalçalısı makbul,SEXIST
sik kafalı pezevenk,PROFANITY
gözlüklerine bi sıçarım dünyayı bok görürsün,PROFANITY
Kes sesini artık yarak kafalı.,PROFANITY
sen babanın sol taşşaklarında iken ben annenle langırt oynuyordum,PROFANITY
kadın gibi yumuşak konuşma,SEXIST
Mankafa gibi davranışların,INSULT
Kadının yüzünün karası erkeğin& elinin kınası,SEXIST
ananı ranzanın üstüne koyar alttan sikerim,PROFANITY
o beceriksiz mi tamamlayacak bu işi,INSULT
seks erkek yapınca ihtiyaç kadın yapınca orospu olur,SEXIST
Kuduz aşını yaptırdın mı,INSULT
Senin yapacağın işin yordamını sikeyim.,PROFANITY
"Bu ne- ses Çingene düğünü, gibi.",RACIST
çokta sikimdeydi,PROFANITY
lazla tartışmaya girilmez,RACIST
zehirli yılan gibi laflarıyla sokuyor,INSULT
az bir şey taşıdın kadın gibi yoruldun,SEXIST
sonra o kopek yana yakila kapima gelip af diledi,INSULT
çingeneye beylik vermişler babasını< asmış,RACIST
Alevilerden uzak dur,RACIST
Göbek bağını kesen ebeyi sikeyim,PROFANITY
Seni ciddiye alamıyorum,INSULT
Kadınlar yarım gün okula gidip geri kalanında da eviyle çocuğuyla ilgilenebilir,SEXIST
Yahudi pazarlığı yapmaya mı geldin buraya?,RACIST
kadın kahkaha atamaz tebessüm eder,SEXIST
doğduğun günün amk,PROFANITY
istemediğim her sik başıma gelir zaten,PROFANITY
Senin yaşın kadar benim adam sikmişliğim var,PROFANITY
Bir Hintliyi görmeden önce kokusundan tanırsın.,RACIST
karı gibi yemek mi yaptın,SEXIST
Bir konuda da Laz inatçılığı yapmasan olmaz.,RACIST
Senin paran yetmez,INSULT
seni bir sikerler görürsün,PROFANITY
amı kırığın piç bebesi,PROFANITY
Yunanlar iflasın eşiğinde Batıdan medet uman ve Batının her dediğini yapan uşak bir ülkedir,RACIST
kadından ağa olmaz,SEXIST
sen komple yarrak olsan ne olur,PROFANITY
dinsiz imansız,INSULT
Yarrağını koparırım,PROFANITY
kim seni niye sevsin ki zaten,INSULT
Kırk Orospu Bi Araya Gelse Senin Gibisini Doğuramaz,PROFANITY
yarragi basan aliyor,PROFANITY
Sokaklar senin gibi eziklerle dolu,INSULT
Güvenilmez insanın tekisin,INSULT
Hayırsız insandan hayır beklemem ben,INSULT
faydası olmayan kilisenin papazını sikeyim,PROFANITY
Türk ile dostluk yap ama sopayı da elinden bırakma çünkü br Türk her an ısırabilir,RACIST
Kadın top oynayamaz,SEXIST
seni öyle bir siktirtirim ki kafa kağıdındaki soyun değişir,PROFANITY
İyilik beklenecek son insansın,INSULT
Ya batacağız ya çıkacağız ama hiçbir orospu çoçuğuna minnet etmeyeceğiz,PROFANITY
Kafan basmıyor mu daha kaç kere söyleyeceğim sana,INSULT
Siktiğimin orospusu,PROFANITY
Parasız koca karısına cin gibi görünür,SEXIST
sizin ne mal olduğunuz bilmez miyim ben,INSULT
Sik kafalı hayatında kaç defa yaptın bunu,PROFANITY
cibiliyetini sikeyim,PROFANITY
seni öyle bir siklemem ki varlığını sorgularsın,PROFANITY
ayıdan post kürtten dost olmazmış,RACIST
Gavur inadı,RACIST
cüce gibisin resmen>,INSULT
Akıl sik değil ki millete sokasın,PROFANITY
senin ben götüne koyayım,PROFANITY
baldırı çıplak ibneler sizi,PROFANITY
tuvalet terliği,INSULT
"Aptal herif, senin yaşın kaç?",INSULT
Onun kadar ahmak birini görmedim,INSULT
Kadın evine bakamaz,SEXIST
Aleviden dost olmaz,RACIST
erkek herkesin içinde kahkaha atmayacak,SEXIST
sen keko musun,INSULT
Avrupalılar Orta Asyalı milletlerden olan insanlara küçümseyici gözle bakarlar,RACIST
kadın dediğiin her yerini örtmeli,SEXIST
Künefeye benziyorsun dışın tatlı fakat için kaşar,PROFANITY
kansız pezevenk,PROFANITY
Sınıfa bir çomar daha geldi,INSULT
ebesiyle yatan pezevengin çocuğu,PROFANITY
insanlardan uzak dura dura buzdolabına dönmüşsün,INSULT
nemrut surat,INSULT
kavat oğlu kavat,PROFANITY
Erkekler kadınlara göre daha fazla söz hakkına sahip olmalıdır,SEXIST
sen temizlikten ne anlarsın mikrop seni,INSULT
Çingenenin tekisin,INSULT
Bir konyalıya yozgatlıymış gibi bakarsanız sevemezsiniz,RACIST
beyninin tasını sikeyim,PROFANITY
afganlar ülkelerine gitsin,RACIST
nereden bileceksin chopstick nedir hayatında gördün mü ki,INSULT
Asyalı çocukların ayakları küçük olsun diye kendilerine küçük ayakkabı giydiren kültürel sistem caniliğin bir başka boyutudur,RACIST
Senin yalan dolanlarına inanıcak değilim,INSULT
Avradın yıkmadığı ev bin yıl dikili kalır,SEXIST
kafanda bi tahta eksik galiba,INSULT
Gübresiz yer parasız er,SEXIST
soğan erkeği,INSULT
Pasaport kontrolündeki Türk vatandaşları gereksiz yere bekletilmeye devam ediyor,RACIST
Aklı kıt olduğu için dediklerimi anlamıyor,INSULT
Bu davranışların ruh hastası biri olduğunu gösteriyor,INSULT
ben kocamı çalıştırmam,SEXIST
Avradin kazdigi kuyudan su cikmaz,SEXIST
Erkek dediğin masaya yumruğunu vuracak,SEXIST
"Ah gönlümü, sikeyim bi> seni= aşamadım",PROFANITY
Gelmişsin kaç yaşına hala kendine çeki düzen veremedin.,INSULT
Çingene’nin ipini kendisine çektirirler,RACIST
Aklında sorun mu var,INSULT
ananın amına galaksi girsin,PROFANITY
buraya köpekler ve zenciler giremez,RACIST
o kadar söyledim ama beni sikine takan olmadı,PROFANITY
gotten gotten ver de gor ananin amini,PROFANITY
Alık salık sözler söylemeyi kes artık,INSULT
sen daha dünki yeni yetme küçük sünepe,INSULT
Yarrak kafalı yalancı zibidi,PROFANITY
bu çocuğu kimden peydahladın acaba,INSULT
Sıfatına sıçayım senin,PROFANITY
kız çocuğu hareket çekmez,SEXIST
böyle işin ecdadına sokayım,PROFANITY
bu bozuklar ne böyle çingene parası gibi,RACIST
Erkek çapkın. diye kadın çapkın olamaz<,SEXIST
Erkek çağırdığında kadının buna icabet etmesi kadının asli görevlerindendir,SEXIST
kız kısmının okuduğu nerde görülmüş,SEXIST
Akıl sik değil ki sokasın,PROFANITY
aklını kullan diyeceğimde olmayan şeyi nasıl kullanacaksın,INSULT
kocana göre bağla başını tencerene göre pişir aşını,SEXIST
lanet norveçli domuz,RACIST
gavur ölüsü mü bu,RACIST
ananın yarrağını sikerim senin daşşağını,PROFANITY
kel kafalı kadın mı olur,SEXIST
amına tavayla hucum ettiğimin kaşarı,PROFANITY
sen daha önce hiç amcık hoşafı içtin mi,PROFANITY
yaşama sevincimi kaybettim bulan götüne soksun,PROFANITY
Müslümanlığı anlamayıp kendi kafasına göre yeni kurallar koyan müslüman coğrafyaları acı çekmeyi hak etmektedir,RACIST
ne zaman yemeğe çıksak o sarı Yahudi'liğe bürünür hesabı hep bana ödetirdi,RACIST
ortamın zeka seviyesini düşürüyorsun,INSULT
pis çingene evimden uzak dur,RACIST
Seninle aynı yerde oturmak istemiyorum,INSULT
huur kaltak> memeleri patlak,PROFANITY
kapa şu sikik çeneni,PROFANITY
Kız dediğin kısa elbise giymez,SEXIST
hayyalarini op,PROFANITY
Kadın şort giyiyorsa aranıyordur,SEXIST
Ananı& aya gönderir oksijensiz ortamda sikerim<,PROFANITY
gavur memlekette> gavur olduk,RACIST
Araplar genelde saygisiz gorgusuz ve guvenilmez olmalarindan kaynakli arap irki pek sevilecek bir irk degildir,RACIST
Senin ben düşünce şeklini sinir hücrelerinin yaptığı sinapsları tek tek sikeyim,PROFANITY
çingene pembesi,RACIST
pireyi deve yaptı akılsız,INSULT
alt< tarafı bir güvenlik görevlisisin dünyayı mı kurtaracaksın,INSULT
Ebenin amına çam diktim dikeni sana battı,PROFANITY
sperm ziyanı,PROFANITY
suratında meymenet yok,INSULT
Çalıktır o kız,SEXIST
Kadın dediğin akşam saatlerinde tek başına boş bir toplu taşımaya binemez!,SEXIST
sikini siktiğimin evladı,PROFANITY
bir salak daha geldi ve okeye dördüncü bulunmuş oldu,INSULT
amını genini siktiğim,PROFANITY
götü zivikli,PROFANITY
Resmen araplar gibi kokuyosun,RACIST
göt kafalı,PROFANITY
Çirkinliğin çiçekleri soldurur,INSULT
acıma yetime koyar götüne,PROFANITY
ananın amına koyduğumun piçi,PROFANITY
Kafirlerden once Muslumanlar ikaza muhtactir,RACIST
Mahalle yanarken orospu saçını tararmış,PROFANITY
sen istersen video kaydı al ilkinde anlamıyorsun,INSULT
Yahudi çocukları- parka alınmadı,RACIST
erkege ceza yok,SEXIST
Gelen gideni aratmaz biz dalyarakları çok abarttık,PROFANITY
Bilge her şeyi bilmez sadece ahmaklar her şeyi bilir,INSULT
siz kızsınız unutmayın gezmede tozmada ne işiniz var,SEXIST
Kendi ülkelerinde erkeklik yapamayan Suriyeliler benim ülkemde erkeklik yapmış,RACIST
kendi osuruğunu başkasının götüne sokarsın,PROFANITY
kadın milleti değil misiniz,SEXIST
kafamda filler sikişiyor,PROFANITY
"Anasını babasını dinlemeyen evlat kocasını saymayan avrat üzengi
 ile yürüyen atı kapında tutma hiç durma sat",SEXIST
Afgani da Suriyelisi de pakistanlisi da ayniHepsi defolup gitsin ulkesine,RACIST
Ülkemde daha fazla sığınmacı mülteci istemiyorum,RACIST
oturduğun taşı sikerim,PROFANITY
kız başına inşaata mı gideceksin,SEXIST
çingene misin,RACIST
Hanım köylü adamlara bizim camiada yer yok,SEXIST
ahlaksız olduğu her hareketinden belli,INSULT
Senin ruhun bir fahişe,PROFANITY
senin seviyeni inmeyeceğim,INSULT
bu olayda da yaptıklarıyla aklı kıt biri olduğunu görmüş olduk onun,INSULT
Türkler gibi çok küfrediyosun,RACIST
Denize düşsen köpek balıkları karaya atar,INSULT
sen güvenilir biri değilsin,INSULT
Erkek dediğin iffetli olur herkesin içinde kahkaha atmaz,SEXIST
vaktinde dövseydin kızını şimdi sızlanmazdın,SEXIST
fahişenin çocuğu git burdan,PROFANITY
Son sözü kocan söyler,SEXIST
Kedi kadar nankörsün.,INSULT
alırım façanı aşağı senin görürsün o zaman,INSULT
Erkek aldatsa da kadınlar elinin kiridir,SEXIST
kalıbı bozuk herif,INSULT
Hintliler pis kokar,RACIST
bu yaptıklarından sonra erkekliğinden utanman gerek,SEXIST
zenciler ve kopekler giremez,RACIST
denyo sikerler seni,PROFANITY
Seni bogaz köprüsünün ortasında sikerim hem asya seyreder hem avrupa,PROFANITY
leş gibi sarhoş olmuş bir de gelmiş müslümanım diyorsun,INSULT
Acınası bir haldesin,INSULT
Sana bakınca kusasım geliyor,INSULT
seni kibrit kutusuna koyar sallar sallar havaya atar yere bir parmak kala parmaklarım,PROFANITY
kadınların kafa ütülemekten başka ne marifeti var,SEXIST
Ruslar gibi beyaz tenli ince kadınlarla evlenmek varken kapkara araplara kaldık,RACIST
Dağdan inmiş ayı gibi davranma,INSULT
Hiç bir sözüne inancım kalmadı şimdi siktirol git,PROFANITY
el sikiyle gerdege girmek,PROFANITY
Evi ev eden kadındır,SEXIST
kadın ulu orta kahkaha atmamalı,SEXIST
kel pezevenk,PROFANITY
Senin gibi kardeş olmaz olsun,INSULT
Senden gerçekten tiksiniyorum insan biraz temiz olur kendine özen gösterir,INSULT
çok yarak giren göt sofusu olurmuş,PROFANITY
seviyene alçalmayacağım,INSULT
kukla gibi yönetiliyorsun,INSULT
yitip giden aklına üzülüyorum,INSULT
Senin bir değerin yok,INSULT
Şafak vakti sikilmiş kedi gibi durma,PROFANITY
seni düşüneni siksinler,PROFANITY
karakter kaşar,PROFANITY
sende ne meymenetsiz çıktın,INSULT
Türkün domuz etine baktığı gibi neden ters bakıyorsun,RACIST
akşama kadar evdesin ne iş yaptın da& yoruldun be= kadın,SEXIST
Kadın yüzünden gülen ömründe bir yada iki kere güler,SEXIST
erkekten daha az birşeydir kadın,SEXIST
ne gösteriş meraklısı çıktın ya,INSULT
çingene çingeneden köyünü kıskanır,RACIST
Dinazor sikinden nükleer silah olur ama senden adam olmaz,PROFANITY
kadın dediğin ince belli olur,SEXIST
orospu veledi bizi buldu,PROFANITY
Ankaranın dikmeni bir daha gidersem sik beni,PROFANITY
kısır< kadından hayır gelmez,SEXIST
Sekreterini siken çayı kendi koyar,PROFANITY
Kimse tarafından kabul görmezsin,INSULT
sana kim niye güvensin,INSULT
yarrağımın kurma kolu sen beni saat mi sandın lan,PROFANITY
gerekeni yapın bu evde hizmetçi ile samimiyet istemiyorum,INSULT
Almanlardan nefret ederim,RACIST
hayatımı siktiniz,PROFANITY
Kari gibi gulme laf ederler,SEXIST
ananın amının kılları cımbızla koparayım yansın,PROFANITY
Öğrencilerin kaldğıı yurtlar mülteciler için değil kendi vatandaşımız için,RACIST
ananın ırzını sikeyim,PROFANITY
haysiyetsiz puşt,PROFANITY
Ananı siker babanın takdirini alırım,PROFANITY
amınakodumun militanı seni,PROFANITY
sefilsin kızım sen,INSULT
ne mal olduğunu biliyorum,INSULT
düz duvara tırmanan göt,PROFANITY
Hint fakiri gibisin beş kuruş paran yok,RACIST
yaptiklarimizla ameleden bir farkimiz kalmadi,INSULT
Amını yolunu sikeyim,PROFANITY
kolye takan adam mı olur,SEXIST
oğlum oğlumdur ölene kadar kızım kızımdır evlenene kadar,SEXIST
Sana bakınca midem bulanıyor,INSULT
Suriyelileri başınıza siz bela ettiniz,RACIST
Yahudi züğürtleyince pazarlık yaparmış,RACIST
Ne de olsa evimin direğidir eşim,SEXIST
Güvenilmez adamın tekidir,INSULT
adam bizi ters yatırıp düz sikti,PROFANITY
o saatte kadinin disarida isi ne,SEXIST
benim gibi asil bir insan sana mı bakacak,INSULT
Kaldırım orospusu seni,PROFANITY
Kızını dövmeyen dizini döver Salih efendi senin kıza neler diyorlar duymadın mı,SEXIST
kadın dediğin iffetli olacak,SEXIST
seni adi pezevenk,PROFANITY
Çingeneler hırsızdır.,RACIST
Suriyeli pislikler yayılmaya devam ediyor bu nedenle SURİYELİLERİ dışlamalıyız!,RACIST
"Senin ananı,bacını, karını, kız arkadaşını, msn arkadaşını sikeyim.",PROFANITY
ananin donuna cicek ekerim,PROFANITY
Senin anneni samuray kılıcıyla hamile edeyim,PROFANITY
Sonunda o piçi öyle bi sikicem ki,PROFANITY
Ermeni tohumuna güven olmaz,RACIST
şıllığa bak hele herkese mavi boncuk dağıtıyormuş ben de bana yazıyor sandım,PROFANITY
Mülteciler kültürümüzde yozlaşmalara sebep oluyorlar,RACIST
Kadın sporcu centilmen bir oyun sergiledi,SEXIST
parası yok ayran içmeye faytonla gidiyor sıçmaya,INSULT
Çeçenlere asla karını emanet etme,RACIST
Senin gibi baba olmaz olsun,INSULT
Kadın aldın sırtına odun aldın,SEXIST
Piçin evladı gelmiş bana kafa tutuyor,PROFANITY
Ne aptal aptal sorular bunlar.,INSULT
at sikinden gramofon iğnesi olur bu orospu çocuğundan adam olmaz,PROFANITY
kulaklarindan tutar gecmislerini siker atarim,PROFANITY
götüyle inatlaşan donuna sıçar,PROFANITY
yarranı yalarım lan senin,PROFANITY
elmayı kasaysa karıyı kısaysa al,SEXIST
kadın dediğin kocasına hizmet eder,SEXIST
Kadınlar sıkıntılıdır,SEXIST
Kadın yeri gelince dinlemeli> ve& susmalı,SEXIST
Karşıma çıkma yolunu sikerim,PROFANITY
küstah herif,INSULT
sen şimdi kendine iyi bir insan mı diyorsun,INSULT
Karının amına koyayım,PROFANITY
Erkekçe dövüşmedi,SEXIST
senin ağzına burnuna sıçarım,PROFANITY
ananın amını keserim cebime koyar koklar koklar sikerim,PROFANITY
insanlık arıyorsan kürtler çok yanlış bir tercih,RACIST
ütü yapan adamın adamlığı kırışmıştır,SEXIST
Çeçenler kimsesiz bir millettir,RACIST
Çok kötüsün ve iğrençsin seni sevmiyorum,INSULT
sökük dikiş gibisin,INSULT
toynaklarını üstümden çek,INSULT
yalanını siksinler,PROFANITY
salak salak bakma öyle git çalış,INSULT
Orospunun yemini yarrağı görene kadarmış,PROFANITY
ben kürtsever im biliyor musun,RACIST
ev idaresine erkek karışmaz,SEXIST
Kadınlar ayak altında dolaşmasın,SEXIST
Adamın yüzüne telefonu kapatma senin belanı sikerim,PROFANITY
Kadinlar yonetimsel isleri idari isleri ekonomik isleri ve pek cok isleri anlamazlar,SEXIST
orospu gibi giyinme,INSULT
bakimsizliktan olcen,INSULT
olursa ekime kadar olmazsa sikime kadar,PROFANITY
nerede bir hippi orada bir zenci,RACIST
Okulumuzda suriyeli bir çocuk geldi sanki iyi birine benziyor,RACIST
ipsiz sapsıza kız vermem ben,INSULT
adamsan sözünü tutarsın karı gibi kıvırma,SEXIST
İngilizlerin duygularını hiç belli etmesi ve soğuk davranması bana itici geliyor,RACIST
erkek adam tükürdüğünü yalamaz,SEXIST
Kayserilinin akılsızı okumuş akıllısı ticarete atılmış,RACIST
ankaranın yarısı suriyeli olmuş,RACIST
Baban insanlık tarihinde büyük bir yara açmış,INSULT
Medeni gözüküp asıl ırkçı olanlarda Fransızlar,RACIST
kapak resmini severek aldığım kitap gibisin dışı güzel içi boş,INSULT
Amerika özgürlükler ülkesidir sözü bir palavradan ibarettir ve Amerika ırkçı bir devlettir,RACIST
ananın amına klavyeyi çapraz sokarım,PROFANITY
bütün suçları işleyen o olduğu halde kedi gibi sinmişti bir kenara,INSULT
Am razı olsa yarak bağdattan gelir,PROFANITY
siz fakirlerin önüne para atayım kendinizi satarsınız,INSULT
ölsen kimse ağlamaz,INSULT
seni zibidi seni,INSULT
Yarrağımı ye dedim yedi orospu,PROFANITY
amını siktiğimin oğlu,PROFANITY
bir ırkçılıktan hoşlanmam bir de zencilerden,RACIST
makyajsız hasta gibisin,INSULT
çirkinlikte yarışma düzenleseler birinci olur,INSULT
Rus domuzları gibi sarhoş,RACIST
erkeklik bende kalsın,SEXIST
Senin sorumluluk bilincin yok,INSULT
bana giren sana girsin,PROFANITY
bir turk aptal degilse o kesin turk degildir,RACIST
Deli kendine iş bulamayınca taşaklarıyla oynar,PROFANITY
Kızılderililer o topraklarda yaşamayı hak etmemişlerdir,RACIST
kadın için en ideal meslek öğretmenliktir yarım gün okula gidip sonra evle ilgilenebilir,SEXIST
Kadın şeytanın maskarasıdır,SEXIST
eşi olmayınca erkek bir hiçtir,SEXIST
erkekler bebeklerle oynamaz,SEXIST
Kadın ata binemez,SEXIST
o tabak öyle mi tutulur aptal,INSULT
allah müstahakını versin,INSULT
Onun bir hırsız olması muhtemel,INSULT
çıktığın yeri doldururum,PROFANITY
Türkiyedeki Suriyeliler ülkemizi kendi Suriyeye çevirdiler,RACIST
çingene parası,RACIST
sikişken yosma,PROFANITY
başın bitten götün sikten kurtulmasın,PROFANITY
Tüm boşnak kızları altına ve paraya düşkündür paran yoksa muhattap olmazlar,RACIST
kalpsiz gibi durma karsimda,INSULT
İtte vefa olur avratta vefa olmaz,SEXIST
kadınlar da gelebilir,SEXIST
Amerika polisleri çok zorbacılardır,RACIST
Yahudiler kendilerini üstün ırk olarak tanıtıp diğer herkesi alt sınıf vatandaş olarak görmekte yanılıyorlar,RACIST
senin takma dişinin yayını sikeyim,PROFANITY
yahudi komşu istemiyoruz,RACIST
kuduz gibi salyalarını akıtıyorsun,INSULT
oğlan doğuran övünsün kız doğuran ise dövünsün,SEXIST
yemek yok mu bu evde kadın,SEXIST
Çakma çin malı olduğu hemen bozulmasından belliydi,RACIST
kadın dediğin susmalı,SEXIST
bazı lavuklar konuşmasını hiç bilmiyorlar,INSULT
fare suratlı,INSULT
Evde kalmış karı anca kocamış adama gider,SEXIST
Tecavüzcülerin gelmişi geçmişi sikilsin,PROFANITY
fişini çekmeyi unutmuslar,INSULT
erkektir bana dokunmaz,SEXIST
ne küfrediyorsun lan ben sana küfür ediyor musun orrosspuu çocuğuuuuuu,PROFANITY
kadın gibi giyinme,SEXIST
Eşek alsan yakından hatun alırsan uzaktan,SEXIST
ayda bir mi banyo yapıyorsun,INSULT
alevi gördün mü kaç,RACIST
ne anlatıp duruyor sana o gerzek,INSULT
Sünni gelin alınmaz,RACIST
kapuska eşşeği,INSULT
genelevden çıkmış orospu,PROFANITY
elindekileri kaybettikçe Yahudinin züğürtlediğinde eski defterleri açması gibi eskiyi karıştırmaya başladı iyice,RACIST
Afganlar bizden düşünce olarak 150 yıl geriden gelmektedir,RACIST
senden bir halt olmaz,INSULT
kadınlar kılı kırk yararak çalıştıklarından onlar daha verimli olur,SEXIST
Kürt ne bilir bayramı hörp hörp içer ayranı,RACIST
tedariksiz sıçmaya giden domala domala taş arar,PROFANITY
Erkek dediğin kıvırmaz,SEXIST
siz koyun güderken biz çoban sikiyorduk,PROFANITY
ananın amına mart karı yağsın,PROFANITY
kahkaha atan kadın iffetsizdir,SEXIST
Sikimden aşağı kasımpaşa,PROFANITY
bu akşamki maçta kadın dırdırı istemiyorum,SEXIST
orospunun gülüşüne pezeveğin sevişine güven olmaz,PROFANITY
kadından idareci olmaz,SEXIST
dalağını sikeyim,PROFANITY
karı lafı dinleyen kılıbıktır,SEXIST
Çocuk olsan sevilmezsin,INSULT
Boşanmış kadın suçludur,SEXIST
gayrimüslimlere çocuk emanet edemem,RACIST
patates gibi oldun iyice,INSULT
çinliler gibi kısa boylu,RACIST
Seni affediyorum erkeklik bende kalsın,SEXIST
akılsızın önde gideni,INSULT
okumuşsun ama adam olamamışsın,INSULT
Biz ne güne duruyoruz erkeklik öldü mü,SEXIST
Kötülük senden başkasından beklenmez,INSULT
kadın milleti çok gezmemeli,SEXIST
sen bi beyin emarı çektir beynin yok diye şüphelenmeye başladım,INSULT
Bu kadar aptal olunmaz,INSULT
otizmli olduğun için sana acıyorlar,INSULT
Oğlun aşık olsa göğe bak kızın aşık olsa yere bak,SEXIST
Kızı kendi gönlüne bırakırsan ya davulcuya ya zurnacıya demişler çok da doğru demişler,SEXIST
Mide bulandırıcısın senden tiksiniyorum,INSULT
kız doğuran dövünsün,SEXIST
ağzını sikeyim muşmula suratlı göt,PROFANITY
kadından şoför olmaz,SEXIST
azacık mert olsan da bu kadar korkak gözükmesen ne olurdu?,INSULT
Dalyarrak,PROFANITY
adam gibi sev,SEXIST
Kan kaybeden bir Türk hasta Japon olduğu bilinen adamdan kan almayı red etti,RACIST
nerede o hot dedigini oturtan adamlar,SEXIST
amına kodumun sarımsak kokan orospu çocuğu,PROFANITY
NANKÖR KÖPEKLER ÇOK BİLE DURDULAR ÜLKEMİZDE DEFOLUP GİTSİNLER,RACIST
beyler ortamda kız var küfür etmeyelim,SEXIST
senin yüreğini siksinler yavşak herif,PROFANITY
Kaktüs bile senden daha yumuşak,INSULT
Ermeni feneri gibi dönüyorsun,RACIST
Yalancı yalancı sana kimse inanmaz,INSULT
oğlun varsa paşalar gibi yaşarsın,SEXIST
papazlar sapıktır,RACIST
yengesini siken orospu çocuğu,PROFANITY
Cırtlak sesli,INSULT
Ruslar en kinci ırktır onlarla iş yapılmaz,RACIST
Bahçıvansın biberin yok dalyaraksın haberin yok,PROFANITY
Avrupa sömürü devletidir,RACIST
Köy yanarken orospu saçını tararmış,PROFANITY
kürt kiracı istemiyoruz,RACIST
Amın- çuval olmuş<,PROFANITY
ananı sikerim kalbini de kırarım,PROFANITY
kapat lan kapıyı pezevengin dölü,PROFANITY
tek yasayan erkege ev verilmez,SEXIST
Atlı karınca olsan binilmezsin,INSULT
Yemek yapamayan kadın da bırakın da evde kalsın,SEXIST
Kadın arabadan anlamaz,SEXIST
tam vazgeçtiğim& anda gelirsen> sıçarım ağzına>,PROFANITY
